Wavelength,S1c / R1
550,1305.373084
551,1226.425685
552,1063.770068
553,917.714414
554,1114.855378
555,979.5116475
556,967.9591493
557,799.0803566
558,1007.012623
559,1063.113604
560,873.3501825
561,844.2250519
562,1019.033182
563,922.6023556
564,1311.650376
565,878.4238886
566,1228.563396
567,778.4835029
568,1054.259207
569,1081.156978
570,795.8827831
571,946.6823979
572,1007.691012
573,878.867861
574,823.2187008
575,1220.538721
576,973.9530706
577,1063.770068
578,1204.514825
579,1205.733558
580,1087.078652
581,1284.790554
582,1041.491213
583,1052.838452
584,1132.213294
585,917.8689721
586,834.3634116
587,1023.957807
588,1019.491097
589,1119.52862
590,984.9037544
591,1086.651317
592,951.4988212
593,1255.053908
594,1228.011016
595,1378.284303
596,1294.434773
597,1199.168726
598,1171.15093
599,1518.46862
600,1248.597082
601,1147.200718
602,1664.701589
603,1517.020919
604,1589.838493
605,1518.46862
606,1578.26867
607,1365.905649
608,1594.909743
609,1674.1447
610,1617.605831
611,1798.339131
612,1832.828113
613,1808.343613
614,1652.452026
615,1990.454801
616,2124.733356
617,2266.981291
618,2113.150362
619,1922.968952
620,2315.20458
621,2393.78122
622,2270.431073
623,2282.810131
624,2572.374327
625,2539.42421
626,2584.420675
627,2660.200706
628,2632.759491
629,2783.395124
630,3033.279084
631,2932.592468
632,3553.770087
633,3308.823529
634,3317.229369
635,3368.297061
636,3926.686875
637,3553.997195
638,4076.086957
639,3693.006562
640,4101.398012
641,4555.917359
642,4343.55897
643,4561.511719
644,4712.26256
645,4961.618199
646,4972.205065
647,5128.996074
648,5108.567581
649,5558.361392
650,5939.342881
651,5998.428114
652,6139.464376
653,5944.899562
654,6551.89845
655,6489.75007
656,6758.957655
657,7610.95214
658,7782.396225
659,8259.379915
660,8523.844296
661,8924.363147
662,8812.464907
663,9169.754126
664,9436.667229
665,9398.137761
666,10238.49607
667,11096.45183
668,11131.36639
669,10993.48534
670,11390.30827
671,11947.97168
672,12409.47623
673,13474.48121
674,13264.333
675,13201.99529
676,13976.23452
677,14113.9205
678,14278.09588
679,15128.47846
680,14992.43231
681,15344.67273
682,15867.00337
683,16808.02067
684,16878.99877
685,17546.27033
686,17456.53393
687,18133.1014
688,18064.28091
689,18133.62504
690,18814.91046
691,19396.23701
692,18727.88543
693,20391.70507
694,20981.1639
695,21247.26231
696,21120.78652
697,21827.62493
698,22507.30665
699,22657.34658
700,22028.05049
701,23192.11103
702,23644.58677
703,24022.58173
704,24072.41089
705,24510.63112
706,25678.86659
707,25343.7728
708,24905.98866
709,26280.79232
710,27123.9261
711,27400.90822
712,26750.64527
713,27926.48709
714,28018.9845
715,27705.39675
716,28903.53337
717,29400.03371
718,28856.51735
719,29782.03472
720,29738.91072
721,30735.36011
722,30547.91444
723,32126.22721
724,31520.94667
725,31946.00359
726,32804.6932
727,32977.05212
728,32343.03989
729,33216.44973
730,33197.68747
731,32832.84688
732,33796.53023
733,34140.79605
734,34653.60431
735,34600.2805
736,35458.26789
737,35843.06897
738,34002.13267
739,35858.21733
740,35932.23196
741,36552.94514
742,35590.89124
743,36351.16214
744,36506.11192
745,36661.80349
746,37739.92592
747,37229.98373
748,38192.68991
749,37812.74543
750,37495.08455
751,37867.04845
752,38439.27387
753,38169.93097
754,39024.86948
755,38560.67838
756,39660.49383
757,37950.69078
758,39155.91699
759,39791.67836
760,38993.94007
761,39886.09584
762,39364.09048
763,39709.51792
764,39990.46176
765,40550.78322
766,39731.21598
767,40815.23874
768,40724.83297
769,41033.61345
770,41313.48806
771,41388.31191
772,41197.42008
773,41940.64183
774,41591.3556
775,41537.4677
776,42007.17449
777,42039.59175
778,42849.52573
779,42181.54295
780,44083.9373
781,43789.98765
782,43729.65997
783,43167.02211
784,44241.89652
785,44164.41897
786,43562.05117
787,44136.47852
788,44742.30856
789,44523.27538
790,44477.18471
791,44912.78255
792,46184.72768
793,45687.42985
794,45114.15269
795,46216.20105
796,47720.76573
797,46379.45552
798,46734.98035
799,47344.03953
800,47683.10492
801,46426.96755
802,47084.43346
803,46934.94111
804,48237.83602
805,48709.80436
806,47641.87977
807,48940.41596
808,48102.9354
809,50415.66028
810,48361.48364
811,49203.09782
812,49342.6597
813,49568.02244
814,49887.74766
815,49534.15278
816,50058.92256
817,50660.11236
818,50715.80957
819,51246.28081
820,51532.93279
821,50839.03917
822,51819.35412
823,51258.21491
824,50196.46365
825,52907.33569
826,50819.44211
827,53056.92791
828,52556.61066
829,52118.64407
830,54184.21792
831,52244.95516
832,52794.90917
833,53372.80431
834,53532.94421
835,53899.53363
836,54123.88487
837,52840.71789
838,53942.26989
839,54387.19444
840,54883.3165
841,54270.72226
842,53468.09465
843,54784.72923
844,54512.60504
845,54627.29261
846,54480.96013
847,55116.27907
848,54613.4873
849,53918.82043
850,54438.58369
851,54613.13705
852,54127.79589
853,55386.04181
854,54457.30988
855,54132.53282
856,54543.15719
857,54240.38192
858,55242.45659
859,53511.43323
860,54413.91324
861,53230.60514
862,52649.45271
863,52141.29152
864,52325.97337
865,51897.70367
866,52188.92069
867,51660.29891
868,51253.44275
869,50061.6834
870,49910.1376
871,49416.22228
872,48567.81803
873,48083.94673
874,47284.92812
875,45379.26001
876,44073.26377
877,44039.86524
878,43746.84255
879,42637.72674
880,41625.4913
881,40106.12612
882,39782.68194
883,37645.90348
884,37170.70157
885,35964.37001
886,33762.98792
887,34478.97932
888,32264.32065
889,30341.59222
890,29938.79155
891,28989.61549
892,27861.26843
893,26810.17063
894,25505.22061
895,24743.10742
896,22955.09335
897,22259.90918
898,21527.19313
899,19856.98261
900,18595.96924
901,18210.11891
902,16914.65469
903,15781.93461
904,14662.81418
905,14239.61841
906,13342.878
907,12641.838
908,11960.12356
909,11100.19095
910,10736.95445
911,9302.390841
912,9178.974561
913,8092.858747
914,7886.01909
915,7253.08642
916,7192.972609
917,6393.782965
918,5715.328877
919,5564.909917
920,4985.674962
921,4558.732655
922,4502.556036
923,4089.021105
924,4032.711331
925,3310.867734
926,3128.161889
927,3056.584709
928,2605.103417
929,2686.542025
930,2343.136154
931,1878.052889
932,1843.848226
933,1851.227597
934,1741.251682
935,1636.812847
936,1461.594569
937,1467.864159
938,1596.699966
939,1131.196317
940,1311.72406
941,946.2570899
942,906.5903222
943,648.5120719
944,767.2418639
945,934.2385815
946,767.3712615
947,631.6676025
948,452.6795254
949,682.6609731
950,536.6977633
951,519.6921175
952,384.7233923
953,491.7111548
954,362.5021076
955,519.2253719
956,496.8281592
957,474.6124466
958,570.3528883
959,373.5745183
960,458.1482939
961,216.3529081
962,160.2473995
963,474.5591374
964,239.0057361
965,160.0314448
966,283.5485682
967,148.9768383
968,137.532278
969,64.54509738
970,232.9105399
971,199.415796
972,47.70724589
973,98.30908376
974,42.15851602
975,120.7186974
976,-47.70992366
977,148.7594027
978,30.85900241
979,238.7238106
980,154.4336497
981,58.98876404
982,199.3598023
983,64.55959131
984,81.36924804
985,2.805521266
986,283.3417494
987,36.45336773
988,42.12063349
989,272.5637855
990,64.61400157
991,70.2799955
992,64.5342312
993,87.17170013
994,-53.44284428
995,103.9033979
996,-8.429334083
997,120.8883891
998,25.30506664
999,289.3746137
1000,64.66850363
1001,137.8340366
1002,-19.65850371
1003,59.03187721
1004,182.5124951
1005,120.8000899
1006,160.0404313
1007,87.03953279
1008,154.459672
1009,266.8689252
1010,-98.27044025
1011,53.33782494
1012,58.92255892
1013,86.93213685
1014,120.596814
1015,53.31088664
1016,-142.9452324
1017,148.4843391
1018,165.5722063
1019,75.85121924
1020,238.8445543
1021,75.88106346
1022,160.0314448
1023,8.425546256
1024,193.6787739
1025,244.3271175
1026,300.5449132
1027,87.0346454
1028,-58.88951206
1029,132.0744113
1030,171.3964597
1031,47.69386152
1032,221.9475192
1033,14.04415482
1034,159.977547
1035,159.977547
1036,81.44694714
1037,47.73135669
1038,340.1551782
1039,188.2128209
1040,137.5940694
1041,47.75280899
1042,204.8490291
1043,227.4897489
1044,193.8093366
1045,132.0966835
1046,216.4137156
1047,171.2328767
1048,210.7570393
1049,289.3583549
1050,-221.6859356
1051,81.33273502
1052,2.805678694
1053,171.194432
1054,215.9282109
1055,249.7474464
1056,317.1306691
1057,232.9105399
1058,81.44694714
1059,115.1168014
1060,221.959991
1061,30.85380904
1062,160.0494188
1063,36.48201156
1064,317.3265937
1065,81.38294887
1066,-64.60674157
1067,283.8194796
1068,233.1329701
1069,-59.01860491
1070,300.3255866
1071,239.0864086
1072,351.2617321
1073,238.6433826
1074,87.12759978
1075,160.1483479
1076,70.18923016
1077,205.0216256
1078,261.045304
1079,367.5232858
1080,441.0607933
1081,227.5280899
1082,171.2809569
1083,-70.27209355
1084,323.0700079
1085,390.3178704
1086,143.4679869
1087,36.52506181
1088,193.8855794
1089,160.0224593
1090,345.5250295
1091,306.3002304
1092,227.6559865
1093,233.2115763
1094,233.0282441
1095,221.8477956
1096,199.4718211
1097,199.4494073
1098,109.5628722
1099,222.209721
1100,384.5937904
1101,379.0218429
1102,278.1992919
1103,109.5505618
1104,165.7396483
1105,272.2424923
1106,176.8569985
1107,283.5804133
1108,98.26492223
1109,182.5022462
1110,25.28658125
1111,238.7774594
1112,171.2328767
1113,165.6372824
1114,115.2980877
1115,-8.428386807
1116,154.4857031
1117,334.5515884
1118,103.891728
1119,199.5839658
1120,98.27044025
1121,210.745195
1122,160.1483479
1123,2.810567735
1124,64.61037137
1125,86.9760395
1126,148.9098674
1127,160.0943714
1128,210.5913405
1129,8.425073017
1130,306.0766034
1131,154.3209877
1132,148.792813
1133,227.5920202
1134,255.6754327
1135,81.52021139
1136,87.01021668
1137,-19.66734098
1138,216.3407507
1139,221.9974147
1140,216.1828289
1141,160.2744348
1142,238.4425494
1143,30.91450734
1144,-30.86766191
1145,-92.71225487
1146,154.5377915
1147,227.3875695
1148,199.3262212
1149,222.0473326
1150,211.0298255
